APPESANTIR	Rendre plus pesant.
APPLICABLE	Qui doit ou peut être appliqué.
APPLICATIF	Relatif à une application, à des applications.
APPOINTAGE	Dernier foulage des cuirs avant de les passer au suif.
APPORTEUSE	Femme qui apporte quelque chose.
APPOSITION	Action d’apposer.
APPRENANTE	Celle qui apprend, en étant actrice de son apprentissage.
APPROBATIF	Qui contient ou qui marque approbation.
APPROCHANT	Qui approche
APPROFONDI	Examiné à fond.
APPROPRIER	Nettoyer, rendre propre.
APRIORIQUE	Qui relève d’un apriori.
APRIORISME	Thèse selon laquelle il existe des idées ou formes a priori.
APRIORISTE	Qui relève d’un apriorisme.
AQUABIKING	Vélo statique dans une piscine.
AQUAMANILE	Aiguière, urcéole qui accompagne généralement ce bassin.
AQUARELLER	Peindre à l'aquarelle.
AQUITANIEN	Qui concerne l’Aquitanien.
ARABISANTE	Celle qui étudie la langue, l’histoire, la culture arabes.
ARABOPHONE	Téléphone arabe.
ARACHIDIER	Relatif à l’arachide, en particulier à sa culture.
ARACHNIDES	Classe d'arthropodes chélicérates terrestres, souvent insectivores.
ARAGONAISE	Habitante de l’Aragon, communauté autonome d’Espagne.
ARBITRABLE	Qui peut être arbitré, soumis à un arbitrage.
ARBITRAIRE	Qui est laissé à la décision du juge.
ARBORICOLE	Qui vit dans les arbres.
ARBOVIROSE	Infection à arbovirus.
ARBRISSEAU	Jeune arbre.
ARCADIENNE	Habitante de l’Arcadie.
ARCBOUTANT	Pièce de soutien.
ARCHICONNU	Extrêmement connu. Souvent avec nuance péjorative : trop connu, ressassé.
ARCHIDUCAL	Relatif à un archiduc ou à une archiduchesse.
ARCHINULLE	Très nulle, nulle de chez nul.
ARCHIPLEIN	Complètement plein.
ARCHITECTE	Constructeur, bâtisseur.
ARCHITRAVE	Partie de l’entablement posée immédiatement sur les colonnes et portant la frise et la corniche.
ARCHIVABLE	Que l’on peut archiver.
ARCHIVISTE	Personne qui est préposée à la garde des archives.
ARCHIVOLTE	Bandeau mouluré placé en saillie au-dessus de l'intrados et qui suit le cintre d’une arcade.
ARDENNAISE	Habitante des Ardennes, une région de Belgique et de France ou un département français.
ARDOISERIE	Fabrique d’ardoises.
ARELIGIEUX	Qui est sans religion.
