ABAISSER	Se baisser.
ALLEMAND	Habitant de l’Allemagne.
ALLERGIE	Forte aversion envers quelque chose ou quelqu'un.
ALLIAIRE	Alliaire officinale, regardée comme diurétique et antiscorbutique.
ALLIANCE	OTAN.
ALLICINE	Composé organo-sulfuré abondant dans l’ail (Allium sativum) et d’autres espèces d’Alliacées, de formule brute .
ALLODIAL	Propriété en franc-alleu.
ALLOGAME	Hétérogame.
ALLONGER	Rendre plus long.
ALLOSOME	Synonyme de .
ALLUMAGE	Action d’allumer.
ALLUMEUR	Agent provocateur.
ALLUMOIR	Ancêtre du briquet qui utilisait une pile au bichromate.
ALLUSION	Figure de style qui permet d’éveiller l’idée d’une personne ou d’une chose sans en faire expressément mention.
ALLUVIAL	Relatif à, ou constitué par, des alluvions.
ALLUVION	Accroissement de terrain qui se fait insensiblement à l’un des bords d’une rivière, ou qui a lieu lorsque la rivière s’en retire, et qu’elle prend son cours d’un autre côté.
ALMANACH	Publication annuelle qui contient un calendrier astronomique avec les phases de la Lune, la durée des jours, les éclipses, etc., et divers conseils pratiques selon les saisons.
ALMANDIN	Espèce minérale du groupe des silicates, sous-groupe des nésosilicates, de la famille des grenats alumineux ferriques.
ALMATOIS	Habitant d’Almaty, ville du Kazakhstan.
ALMOHADE	Relatif à la dynastie berbère et musulmane qui règne sur le Maghreb et la péninsule Ibérique de 1147 à 1269.
ALOGIQUE	Sans logique, illogique.
ALOSTOIS	Relatif à Alost en Belgique.
ALOUETTE	Sorte d'hélicoptère à usage militaire.
ALOURDIR	Rendre lourd.
ALPAGUER	Apostropher.
ALPESTRE	Relatif aux Alpes.
ALPHABET	Ensemble ordonné de lettres utilisées dans un système d’écriture pour composer des syllabes et des mots.
ALSACIEN	Personne habitant la région d’Alsace ou qui en provient.
ALTERNAT	Action ou droit d’alterner.
ALTERNER	Se succéder tour à tour et avec régularité, pour des objets.
ALTIPORT	Aérodrome en montagne.
ALTITUDE	Hauteur.
ALTUGLAS	Thermoplastique transparent composé de polyméthacrylate de méthyle.
ALUMINER	Mélanger avec de l’alumine.
ALUNERIE	Fabrique d’alun.
AMADOUER	Se calmer.
AMAIGRIR	Rendre maigre.
AMALGAME	Combinaison du mercure avec un autre métal.
AMANCHER	S'arranger.
AMANDAIE	Plantation d’amandiers.
AMANDIER	Arbre de la famille des rosacées, qui porte les amandes.
AMARANTE	Municipalité portugaise située dans le district de Porto.
AMARETTO	Petit gâteau sec d'origine italienne, fabriqué avec de la poudre d'amande douce et/ou amère, du sucre et du blanc d'œuf.
AMARINER	Habituer au métier de marin.
AMARNIEN	Relatif à Amarna, à ses habitants ou à sa culture dans l’histoire de l’Égypte antique.
AMARRAGE	Action d’amarrer un bâtiment.
AMASSEUR	Celui qui amasse.
AMATEURE	Celle qui a de l’attachement, du goût pour quelque chose.
AMATRICE	Commune d’Italie de la province de Rieti dans la région du Latium.
AMAUROSE	Affection d’étiologie diverse, caractérisée par la perte complète ou incomplète de la vision bilatérale, sans altération appréciable des parties constituantes du globe de l’œil.
AMAZIGHE	. pour désigner l’ensemble des dialectes et langues amazighs.
AMBIANCE	(nouchi) Fête, bal.
AMBIFIER	Enduire la peau avec de l’ambi en vue de l’éclaircir.
AMBITION	Motivation pour améliorer une situation.
AMBLEUSE	Jument qui va l’amble.
AMBLYOPE	Qui est affecté d’amblyopie.
