ABAISSER	Se baisser.
RIPAILLE	Grande chère ; repas où on mange avec excès.
RIPEMENT	Ripage.
RIPICOLE	Qui vit en bordure des eaux courantes.
RIPOSTER	Parer et porter la botte du même mouvement.
RIPUAIRE	Relatif aux rives.
RIQUIQUI	Ridiculement petit ou étriqué.
RISBERME	Ouvrage de consolidation d’un mur.
RISORIUS	Petit muscle de la commissure des lèvres.
RISSOLER	Cuire, rôtir, de telle manière que ce que l’on rôtit prenne une couleur dorée et appétissante.
RIVERAIN	Habitant de Rivière-Bleue, municipalité québécoise.
RIVETAGE	Action ou résultat de l'action de river ou de riveter, que ce soit à froid ou à chaud.
RIZICOLE	Qui a rapport à la culture du riz.
ROADSTER	Type de moto dépouillée.
ROANNAIS	Relatif à Roanne, commune de la Loire.
ROBELAGE	Synonyme de .
ROBERVAL	Nom de famille.
ROBINEUX	Sans-abri alcoolique.
ROBINIER	Genre d’arbre ou d’arbrisseau originaire d’Amérique du Nord, d’Asie ou d’Afrique septentrionale et largement répandue en Europe en particulier l’acacia blanc ou faux-acacia (Robinia pseudoacacia ).
ROBINSON	Nom de famille anglais.
ROBURITE	Substance explosive.
ROCAILLE	Fondant pour l'émail.
ROCHASSE	Amas de roches.
ROCKEUSE	Musicienne qui joue ou chante du rock and roll (né dans les années 1950), le plus souvent appelé simplement rock depuis les années 1960.
ROCKSTAR	Marque de boisson énergisante.
ROCOUYER	Teindre avec du rocou.
RODOMONT	Fanfaron de bravoure, bravache, fier-à-bras, matamore.
ROENTGEN	Ancienne unité cgs de dosimétrie radioactive et radiologique, de symbole R, définie comme la dose de rayons X ou gammas produisant une unité de charge électrostatique (esu) de charges positives et négatives dans un centimètre cube d’air sec à pression et température normales (ce qui équivaut à 258 μC/kg).
ROGNEUSE	Machine destinée à araser jusqu'au niveau du sol la souche d'un arbre.
ROGNURES	Restes des matériaux qui ne sont pas entrés dans un grand ouvrage pour lequel ils avaient été préparés.
ROHINGYA	Relatif à la langue des Rohingya.
ROITELET	Roi dont le pouvoir est faible ; roi d'un tout petit royaume.
ROLLEUSE	Femme ou fille adepte du roller.
ROLLMOPS	Hareng cru roulé autour d’un cornichon et mariné dans du vinaigre.
ROMAGNOL	Relatif à la Romagne, région d’Italie.
ROMAINES	Village et ancienne commune française, située dans le département de l’Aube intégrée dans la commune de Ramerupt.
ROMANCER	Déformer l’histoire par les procédés du roman.
ROMANCHE	Qui concerne le romanche.
ROMSTECK	Pièce de l’aloyau de bœuf qui fournit une viande savoureuse, aussi bien pour griller, rôtir ou braiser.
RONDACHE	Sorte de grand bouclier rond.
RONDELET	Qui est bien garni, ou de taille importante.
RONDELLE	Anus.
RONFLANT	Grandiloquent et vain.
RONFLEUR	Celui qui ronfle, qui a l’habitude de ronfler.
RONGEANT	Qui ronge, qui tourmente.
RONGEURS	Mammifères au régime alimentaire de type rongeur, pourvus de longues incisives à croissance continue, en petit nombre, usées en biseau et n'ayant pas de canines mais un espace vide appelé diastème : ce qui correspond aux glires.
ROOKERIE	Lieu de nidification et de reproduction des oiseaux des régions arctiques et antarctiques.
ROPLOPLO	Synonyme de sein.
ROQUETIN	Bobine qui reçoit le fil d’or ou d'argent, chez les tireurs d’or.
ROQUETTE	L’une des anciennes prisons de Paris.
ROQUILLE	Sorte de confiture d’écorce d’orange.
ROSALBIN	Cacatoès rosalbin, espèce de perroquet.
ROSELIER	Relatif aux roseaux.
ROSERAIE	Terrain planté de rosiers.
ROSSERIE	Acte, propos qui témoigne de la perfidie, de la méchanceté.
ROSSOLIS	Droséra, (Drosera).
ROTARIEN	Relatif au .
ROTATEUR	Ce qui tourne.
ROTATION	Mouvement d’une planète autour de son axe propre.
ROTATIVE	Presse rotative, machine employée surtout pour l’impression des journaux et qui imprime par un mouvement rotatoire.
ROTENGLE	Espèce de poisson osseux d’eau douce, des eaux calmes d’Europe et d’Asie, proche du gardon, dont les nageoires anale et ventrales ainsi que la queue et l’iris de l'œil sont de couleur rouge vif, de la famille des cyprinidés.
ROTOPLOT	Sein de femme. Les dictionnaires ne donnent ce mot qu’au pluriel, pour désigner une paire de seins.
ROTULIEN	Relatif à la rotule.
ROTURIER	Prolétaire dans un système féodal.
ROUBLARD	Personne roublarde.
ROUCOULE	Énamouré.
ROUERGAT	Habitant ou originaire du Rouergue.
ROUGEAUD	Celui qui est rougeaud.
ROUGEOLE	Nom vernaculaire ancien de l'adventice culturale mélampyre des champs. (Melampyrum arvense).
ROUGETTE	Variété d’olive.
ROUILLER	Altérer, affaiblir par manque d’exercice.
ROULANTE	Synonyme de femme de chemineau.
ROULETTE	Fraise dentaire.
ROULEUSE	Prostituée.
ROULOTER	Autre orthographe de roulotter.
ROULOTTE	Voiture de toute espèce ; charrette.
ROUPETTE	voire Testicule. , roubignole, rouston, etc.
ROUPILLE	Chose de peu de valeur, usée ou en mauvais état, guenille, rougne.
ROUQUINE	Femme ou fille aux cheveux roux.
ROUSSARD	Grès ferrugineux de couleur rose / rouille.
ROUSSEAU	Nom de famille, surtout connu pour (1712-1778), écrivain d’expression française né à Genève, et le douanier Rousseau, un peintre.
ROUSSEUR	Tache de rousseur.
ROUSSIES	Nom de famille.
ROUTARDE	Voyageuse, généralement solitaire et préférant les formules bon marché.
ROUTEUSE	Ouvrière chargée de la conduite de ces machines.
ROUVERIN	Qualifie un fer impur qui devient cassant, plein de gerçures lors du travail à une température qui lui est propre, comme on détermine la température du fer à sa couleur, se fer est aussi nommé fer de couleur et aussi fer métis.
ROUVIEUX	Gale invétérée des chiens.
ROUVRAIE	Lieu où croissent des rouvres.
ROUVRAIS	Nom de famille français.
ROYAUMER	Se prélasser.
RUBANEUR	Qui donne à la filasse la forme de ruban.
RUBANIER	Celui qui fabrique, qui vend du ruban.
RUBICOND	Personne qui a le visage rouge.
RUBIDIUM	Métal mou et argenté qui devient liquide vers 40°C.
RUBIETTE	Oiseau endémique insectivore du Maghreb, en particulier de l’, également appelé rougequeue de Moussier (Phoenicurus moussieri).
RUBRIQUE	Genre, catégorie d’articles.
RUDEMENT	Beaucoup.
RUDENTER	Tailler des ornements dans les cannelures des colonnes.
RUDIMENT	Début.
RUDISTES	Ordre de la classe des acéphalophores renfermant ceux dont la coquille est épaisse, grossière et extrêmement irrégulière.
RUGBYMAN	Joueur de rugby.
RUINISTE	Qui est un ruiniste, une ruiniste ; qui se rapporte à l’art ou à l’inspiration des ruinistes.
RUISSEAU	Ancien nom du quartier d’El Annasser situé au croisement des communes de Belouizdad d’Hussein Dey et de Kouba dans l’agglomération d’Alger en Algérie.
RUMINANT	Qui rumine.
RUNABOUT	À la fin du XIX siècle et au début du XX, véhicule hippomobile ou à moteur, destiné à la promenade.
RUPESTRE	Qui a rapport aux rochers.
RUPICOLE	Coq-de-roche.
RURBAINE	Habitante d’un village dont la proximité avec une grande ville crée un développement urbain de type banlieue.
RUSSISER	Rendre plus russe.
RUSTAUDE	Paysanne mal dégrossie.
RUSTIQUE	Agriculteur, paysan.
RUTABAGA	Brassicacée, originaire des pays du Nord, cultivée pour sa racine blanche ou jaune destinée à l’alimentation animale et humaine.
RUTILANT	Qui brille d’un vif éclat.
RWANDAIS	Habitant ou originaire du Rwanda.
SABLERIE	Partie d’une fonderie dans laquelle on prépare les matières qui servent à former les moules, et où l’on opère les réparations qu’exigent les moules avant la fusion.
SABORDER	Détruire volontairement quelque chose, saboter.
SABOTAGE	Fabrication des sabots (chaussures).
SABOTEUR	Celui qui sabote.
SABOTIER	Celui qui porte des sabots.
SABOULER	Tourmenter, tirailler, bousculer quelqu’un.
SABREUSE	Escrimeuse qui pratique la discipline du sabre .
SABURRAL	Qui est couvert de saburre.
SACCADER	Secouer.
SACCAGER	Faire du désordre, détruire.
SACHERIE	Industrie des sacs d'emballage.
SACRISTI	Sapristi !
SADOMASO	Sadomasochiste.
SAFAVIDE	Membre de la dynastie du même nom.
SAFRANER	Apprêter avec du safran, jaunir avec du safran.
SAGEMENT	D’une manière sage, prudente, avisée.
SAGITTAL	Qui a la forme d’une flèche.
SAGOUINE	Femme au comportement méprisable, salaude, saloparde.
SAHARIEN	Relatif au Sahara et à ses habitants.
SAHRAOUI	Nom de famille.
SAIETTER	Nettoyer avec une saie (brosse d’orfèvre).
SAIGNANT	Qui dégoutte de sang.
SAIGNEUR	Celui qui saigne les porcs.
SAIGNEUX	Qui saigne.
SAIGNOIR	Couteau pour cet usage.
SAILLANT	Commune française du département du Puy-de-Dôme.
SAINDOUX	Graisse de porc fondue.
SAINFOIN	Fabacée du genre Onobrychis.
SAINTAIS	Relatif à Saintes en Belgique.
SAINTOIS	Relatif à Saintes-Maries-de-la-Mer, commune des Bouches-du-Rhône, en France.
SALADERO	Saloir.
SALADIER	Contenu de ce grand bol.
SALADINE	Cotte d’armes qui a été en usage à la suite des Croisades.
SALAISON	Denrées alimentaires qui ont été salées pour être conservées.
SALANQUE	Petite région naturelle au nord-est du département des Pyrénées-Orientales.
SALARIAL	Relatif au salaire.
SALARIAT	Ensemble des salariés.
SALARIER	Rétribuer par le salaire qui est dû.
SALBANDE	Surface latérale d’un filon, celle qui le sépare de la roche environnante.
SALEMENT	Extrêmement.
SALICINE	Hétéroside extrait du saule. Son aglycone est l'alcool salicylique et son glucide le glucose.
SALICOLE	Relatif à la saliculture, à la production du sel.
SALIFIER	Convertir en sel.
SALIGAUD	Celui/celle qui est méprisable.
SALIGNON	Pain de sel obtenu par évaporation des eaux d'une source saline.
SALINAGE	Opération qui consiste à faire cristalliser le sel.
SALINGUE	Sale, dégoûtant.
SALISSON	Femme, fille malpropre.
SALIVANT	Synonyme de sialagogue.
SALONARD	Qualifie la musique de chambre.
SALOPARD	Salaud, homme abject, vil, sans scrupules.
SALPICON	Mets composé de toutes sortes de viandes et d’abats ainsi que de légumes comme des truffes, des champignons, des fonds d’artichauts, le tout coupé en dés, en quantité égale et chacun cuit séparément pour que la cuisson soit identique, puis servi ensemble dans une sauce relevée.
SALSIFIS	Doigt de pied.
SALTIQUE	Araignée du genre Salticus et de la famille des Salticidae, ou araignées-sauteuses.
SAMARIEN	Relatif au département français de la Somme et à ses habitants.
SAMARIUM	Métal pur de cet élément, très rare, argenté, relativement stable à l'air à température ambiante.
SAMBUQUE	Cithare des anciens Grecs.
SAMIZDAT	Publication clandestine de ces écrits.
SAMNITES	Peuple qui vivait au Samnium entre le VIIIe et le Ier siècle av. J.-C.
SAMOUSSA	Petit beignet triangulaire originaire du nord de l’Inde et du Pakistan, fourré de farce, de piment et d'épices.
SAMPLEUR	Instrument de musique électronique capable d’enregistrer des sons (échantillons) et de les rejouer à la hauteur voulue.
SAMPLING	Utilisation de samples.
SANCERRE	Vin de la région de Sancerre.
SANCTION	Approbation que l’on donne à une chose.
SANDWICH	Ancien nom des îles Hawaï.
SANGLAGE	Action de sangler.
SANGLANT	Qui a la couleur du sang ; sanguin.
SANGLIER	Prêtre.
SANGUINE	Dessin fait avec ces crayons.
SANICULE	Synonyme de sanicle.
SANIDINE	Espèce minérale de groupe des silicates, sous-groupe des tectosilicates, famille des feldspaths, sous familles des feldspaths potassiques (K-Feldspath), de formule .
SANSCRIT	Relatif à cette langue.
SANSKRIT	Qui a rapport au sanskrit.
SANTENAY	Commune française, située dans le département de la Côte-d’Or.
SANTERIA	Religion originaire des Caraïbes mélangeant l’animisme d’Afrique au catholicisme, pratiquée à Cuba, en Colombie et au Venezuela.
SAOUDIEN	Relatif à l'Arabie saoudite.
SAOUDITE	De la famille al-Saoud, famille régnante sur une grande partie de l’Arabie.
SAPEMENT	Condamnation à une peine.
SAPHIQUE	Relatif au saphisme, au lesbianisme.
SAPHISME	Homosexualité féminine.
SAPINAGE	Plantation ou peuplement de sapins.
SAPINEAU	Jeune sapin ; petit sapin.
SAPITEUR	Expert chargé d’évaluer un lot de marchandise.
SAPONINE	Hétéroside complexe, appartenant aux terpènes cycliques ou aux stéroïdes, se trouvant chez de nombreux végétaux comme la salsepareille, la saponaire, le quinoa, etc.
SAPONITE	Dérivé organométallique de la saponine.
SAPOTIER	Synonyme de Manilkara zapota ou sapotillier.
SAPRISTI	Pour marquer l’étonnement ou l'énervement.
SAPROPEL	Organisme, notamment protozoaire, adepte des eaux boueuses.
SARCASME	Raillerie amère et cruelle ; ironie méchante, mordante, acerbe.
SARCELLE	De la couleur bleu vert moyen.
SARCLAGE	Action de sarcler ou résultat de cette action.
SARCLEUR	Qui permet d’effectuer un sarclage.
SARCLOIR	Instrument dont on se sert pour sarcler.
SARCLURE	Ce qu’on arrache d’un champ, d’un jardin en le sarclant.
SARCOPTE	Un acarien ectoparasite responsable d'une gale dite sarcoptique.
SARDOINE	Sorte d’agate, d’une couleur brune, avec des reflets orangés.
SARDONYX	Sardoine.
SARGASSE	Algue des mers tropicales, de la famille des fucacées dont les thalles peuvent atteindre plus de 100 mètres. Appelée aussi herbe flottante, raisin de mer.
SARRASIN	Nom donné jadis aux musulmans que les croisés partaient combattre.
SARRETTE	Plante vivace à fleurs composées, qui pousse dans les lieux humides et ombragés, et dont une espèce (Sarrette des teinturiers) était utilisée pour produire une teinture jaune.
SARROISE	Habitante de Sarre, commune d’Italie de la province d’Aoste dans la région de la Vallée d’Aoste.
SARTHOIS	Habitant de la Sarthe.
SARTRIEN	Qui découle ou s’apparente à la pensée de .
SASSEUSE	Ouvrière qui sasse.
SATINAGE	Action de satiner ou résultat de cette action.
SATINEUR	Ouvrier qui satine le papier.
SATRAPIE	Gouvernement d’un satrape.
SATURANT	Qui sature, a la propriété de saturer.
SATURNIE	Genre de papillons nocturnes de la famille des saturnidés (Saturniidae).
SAUCETTE	Baignade.
SAUCISSE	Nom d'une variété de pomme de terre.
SAUGRENU	Qui est absurde, ridicule, d’une étrangeté choquante, en parlant des choses.
SAUMURER	Produire le saumurage.
SAUSSAIE	Saulaie.
SAUTELLE	Sarment que l’on transplante avec sa racine.
SAUTERIE	Cérémonie.
SAUTEUSE	Puce.
SAUVAGES	Amérindiens.
SAUVAGIN	Ce goût lui-même.
SAUVETTE	Jeu d’enfants comparable au jeu du chat.
SAVAGNIN	Cépage blanc ou rose du . — Savagnin seul est souvent utilisé pour désigner le savagnin blanc, sinon on parle de savagnin rose.
SAVETIER	Mauvais ouvrier en quelque métier que ce soit.
SAVONNER	Faire une vive réprimande.
SAVOURER	Ressentir durablement.
SAVOYARD	Originaire ou habitant des départements de la Savoie et de la Haute-Savoie.
SAXATILE	Qui se trouve, qui croît parmi des pierres.
SAXICOLE	Oiseau insectivore du genre '.
SAXONIEN	Qualifie l’étage géologique qui correspond à la partie moyenne du Permien.
SCABIEUX	Relatif à la gale ou qui lui ressemble.
SCABINAL	Relatif à la fonction des scabins.
SCABREUX	Qui est rude, raboteux.
SCALAIRE	Grandeur scalaire, caractérisée par un seul nombre.
SCALDIEN	Qui a rapport à la région de l’Escaut.
SCAMORZA	Fromage d’Italie du Sud à pâte filée peu affiné et produit avec du lait entier pasteurisé.
SCANDALE	Commune d’Italie de la province de Crotone dans la région de Calabre.
SCANDIUM	Atome (ou, par ellipse, noyau) de scandium.
SCANNAGE	Balayage par lignes parallèles.
SCANNEUR	Numériseur à balayage pouvant inclure un traitement de l’information numérisée.
SCANSION	Action de scander.
SCAPHITE	Ammonite fossile.
SCARIEUX	Se dit de toute partie qui est mince, sèche et demi-transparente.
SCELLAGE	Action de sceller un produit.
SCELLANT	Produit de jointoiement, en particulier produit à base de silicone pour les sanitaires.
SCHAPSKA	Casque au dessus carré des lanciers polonais.
SCHEIDER	Trier du minerai, pour obtenir une meilleure qualité.
SCHIEDAM	Commune et ville des Pays-Bas située dans la province de la Hollande-Méridionale.
SCHINDER	Tricher.
SCHIZOSE	Ensemble des troubles mentaux que présente une personne schizophrène ou schizoïde.
SCHLAGUE	Punition, correction physique.
SCHLITTE	Sorte de traîneau circulant sur des rails en bois, qui servait, dans les Vosges, à transporter les bois abattus.
SCHMOUTZ	Bisou.
SCHNOUFF	Zigoto.
SCHOONER	Deux-mâts, gréé comme une goélette.
SCHPROUM	Tapage, petit scandale.
SCISSILE	Qui peut être scindé.
SCISSION	Séparation, division dans une assemblée politique, dans un parti, etc.
SCISSURE	Espace, séparation.
SCOLAIRE	Élève d'une école.
SCOLIOSE	Déformation, gauchissement.
SCOREUSE	Sportive qui marque un point.
SCORPION	Personne née sous le signe du Scorpion.
SCOTCHER	Arrêter, immobiliser.
SCOTISME	Doctrine scolastique de John Duns Scot et de ses adeptes.
SCOTISTE	Partisan de .
SCOTTISH	Schottisch.
SCRAPEUR	(engin de terrassement pour travaux publics), niveleuse.
